Row,Column,Assay,Sample,Conc,Ct,Tm,Expected Tm,R2,Chi2,Straight R2,Efficiency,Multiple peaks,Outlier,Multimodal melt peaks,F0,Flags,S-DispenseTip,S-DropIndex,S-GlobalDropIndex,S-SP-Well,A-DispenseTip,A-DropIndex,A-GlobalDropIndex,A-SP-Well,Asymmetry,A,B,C,D,E,AmpRatio,Tm minus mean,Ct minus mean
67,54,pAKD1-IncP-1?_380_Rep2,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
67,55,pBS228-IncP-1?_381_Rep2,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
67,56,blaCTX-M_162_Rep2,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
67,57,IS91_1567_Rep2,P22o,-1,30.41983,85.20927,,0.9999678,9164.033,0.5553893,1.919014,FALSE,FALSE,FALSE,6.87E-07,CtIsLarge,,,,,,,,,9,2882.517,1.402874,33.26736,13674.77,7.905024,5.744037,,
67,58,ISCR1_1528_Rep2,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
67,59,tnpA_206_Rep2,P22o,-1,27.03468,77.58349,,0.9999536,12074.04,0.6886019,2.004688,FALSE,FALSE,FALSE,2.26E-06,,,,,,,,,,10,2424.385,1.321705,29.77531,13741.91,11.57385,6.668207,,
0,24,16Snew_2_Rep1,P23o,-1,12.39482,83.81058,,0.9981865,448042,0.6473997,2.145302,FALSE,FALSE,FALSE,0.04640901,,,,,,,,,,13,2563.214,1.213395,14.99282,10784.11,15.78083,5.207262,,
0,25,16Sold_1_Rep1,P23o,-1,11.8012,81.20457,,0.9999941,1390.234,0.7110181,1.966355,FALSE,FALSE,FALSE,0.2264935,,,,,,,,,,7,3043.025,1.356344,14.58745,10614.26,-0.5539299,4.488061,,
0,26,aac6-is_iu_ix_419_Rep1,P23o,,,,,,,,,,,,,"LowEfficiency, CtIsSmall, CurveFitFailed",,,,,,,,,,,,,,,,,
0,27,aphA3_14_Rep1,P23o,-1,17.36853,78.79781,,0.9999725,4687.834,0.825032,1.900558,FALSE,FALSE,FALSE,0.007096609,,,,,,,,,,12,3903.098,1.422264,20.24159,10762.42,-9.289,3.757403,,
0,28,tetB_181_Rep1,P23o,-1,28.00707,79.21312,,0.9999797,3571.523,0.6518126,1.935388,FALSE,FALSE,FALSE,2.53E-06,,,,,,,,,,5,2827.341,1.386278,30.83274,11557.25,8.185789,5.087674,,
0,29,tetG_F_507_Rep1,P23o,,,,,,,,,,,,,"CtIsLarge, CurveFitFailed",,,,,,,,,,,,,,,,,
0,30,IncP_oriT_342_Rep1,P23o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
0,31,IncQ_oriT_343_Rep1,P23o,,,,,,,,,,,,,"LowEfficiency, CtIsSmall, CurveFitFailed",,,,,,,,,,,,,,,,,
0,32,int1-a-marko_336_Rep1,P23o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
0,33,intI1F165_clinical_359_Rep1,P23o,,,,,,,,,,,,,"CtIsLarge, MultipleMeltPeaks",,,,,,,,,,,,,,,,,
0,34,ant6-ib_1541_Rep1,P23o,-1,22.98915,75.05077,,0.9999619,10235.04,0.7889691,1.936289,FALSE,FALSE,FALSE,0.000115249,,,,,,,,,,5,2430.832,1.385381,25.81364,14249.3,8.514144,6.861905,,
0,35,aph2-Id_104_Rep1,P23o,-1,22.74237,75.16692,,0.999905,19331.03,0.7962387,1.999214,FALSE,FALSE,FALSE,5.27E-05,,,,,,,,,,7,2345.367,1.326498,25.48931,11674.86,11.94705,5.977837,,
